Канал;Supermarkets;;;;;;;;;;;
Диапазон веса;(несколько элементов);;;;;;;;;;;
;;;;;;;;;;;;
Бренд;Год;Месяц;SUM of Сумма (в 1000);;;;;;;;;
Other;2022;11;148,33;;;;;;;;;
Other;2022;12;138,92;;;;;;;;;
Other;2021;1;45,85;;;;;;;;;
Other;2021;2;43,27;;;;;;;;;
Other;2021;3;53,89;;;;;;;;;
Other;2021;4;47,62;;;;;;;;;
Other;2021;5;29,37;;;;;;;;;
Other;2021;6;33,27;;;;;;;;;
Other;2021;7;32,49;;;;;;;;;
Other;2021;8;39,19;;;;;;;;;
Other;2021;9;34,50;;;;;;;;;
Other;2021;10;31,27;;;;;;;;;
Other;2021;11;31,35;;;;;;;;;
Other;2021;12;37,69;;;;;;;;;
Other;2022;1;37,07;;;;;;;;;
Other;2022;2;52,65;;;;;;;;;
Other;2022;3;111,03;;;;;;;;;
Other;2022;4;82,65;;;;;;;;;
Other;2022;5;59,79;;;;;;;;;
Other;2022;6;31,41;;;;;;;;;
Other;2022;7;26,07;;;;;;;;;
Other;2022;8;29,21;;;;;;;;;
Other;2022;9;27,23;;;;;;;;;
Other;2022;10;34,10;;;;;;;;;
Other;2022;11;36,97;;;;;;;;;
Other;2022;12;36,73;;;;;;;;;
Other;2021;1;233,91;;;;;;;;;
Other;2021;2;201,00;;;;;;;;;
Other;2021;3;197,97;;;;;;;;;
Other;2021;4;213,33;;;;;;;;;
Other;2021;1;221,54;;;;;;;;;
Other;2021;2;184,81;;;;;;;;;
Other;2021;3;198,85;;;;;;;;;
Other;2022;7;224,62;;;;;;;;;
Other;2022;8;313,65;;;;;;;;;
Other;2022;5;344,14;;;;;;;;;
Other;2022;12;308,90;;;;;;;;;
Other;2021;4;124,69;;;;;;;;;
Other;2021;11;129,40;;;;;;;;;
Other;2022;7;198,98;;;;;;;;;
Other;2021;6;87,98;;;;;;;;;
;;;;;;;;;;;;
Бренд;Год;Месяц;SUM из Объем;;;;;;;;;
Blue;2021;1;8 107,08;;;;;;;;;
Blue;2021;2;4 419,94;;;;;;;;;
Blue;2021;3;6 994,55;;;;;;;;;
Blue;2021;4;4 574,94;;;;;;;;;
Blue;2021;5;7 424,95;;;;;;;;;
Blue;2021;6;4 603,98;;;;;;;;;
Blue;2021;7;6 837,96;;;;;;;;;
Blue;2021;8;6 111,30;;;;;;;;;
Blue;2021;9;7 067,48;;;;;;;;;
Blue;2021;10;9 577,52;;;;;;;;;
Blue;2021;11;8 723,81;;;;;;;;;
Blue;2021;12;7 508,40;;;;;;;;;
Blue;2022;1;9 934,41;;;;;;;;;
Blue;2022;2;6 283,97;;;;;;;;;
Blue;2022;3;14 237,19;;;;;;;;;
Blue;2022;4;8 986,13;;;;;;;;;
Blue;2022;5;6 818,83;;;;;;;;;
Blue;2022;6;6 132,88;;;;;;;;;
Blue;2022;7;7 831,71;;;;;;;;;
Blue;2022;8;7 079,59;;;;;;;;;
Blue;2022;9;6 399,18;;;;;;;;;
Blue;2022;10;9 478,16;;;;;;;;;
Blue;2022;11;11 510,50;;;;;;;;;
Blue;2022;12;9 074,15;;;;;;;;;
Green;2021;1;14 223,73;;;;;;;;;
Green;2021;2;11 474,87;;;;;;;;;
Green;2021;3;13 512,75;;Дата;Blue;Green;Other;Pearl;Rosy;Yellow;
Green;2021;4;14 437,11;;янв 2021;8 107,08;14 223,73;2 091,12;;;2 073,77;
Green;2021;5;10 703,26;;фев 2021;4 419,94;11 474,87;1 597,87;;;1 418,48;
Green;2021;6;10 508,93;;мар 2021;6 994,55;13 512,75;1 823,42;;;1 774,12;
Green;2021;7;11 575,01;;апр 2021;4 574,94;14 437,11;1 273,48;;;2 209,36;
Green;2021;8;14 394,95;;май 2021;7 424,95;10 703,26;1 870,45;;2 334,21;1 515,28;
Green;2021;9;15 863,93;;июн 2021;4 603,98;10 508,93;1 705,89;;2 213,25;1 193,71;
Green;2021;10;16 812,60;;июл 2021;6 837,96;11 575,01;1 759,02;;2 130,39;1 759,86;
Green;2021;11;15 456,79;;авг 2021;6 111,30;14 394,95;1 230,00;;1 758,46;1 229,76;
Green;2021;12;15 671,43;;сен 2021;7 067,48;15 863,93;976,20;;930,42;2 370,89;
Green;2022;1;15 891,32;;окт 2021;9 577,52;16 812,60;1 013,82;;870,89;1 156,39;
Green;2022;2;13 757,47;;ноя 2021;8 723,81;15 456,79;689,47;;599,37;1 961,30;
Green;2022;3;20 110,39;;дек 2021;7 508,40;15 671,43;681,74;;348,60;1 349,54;
Green;2022;4;17 638,77;;янв 2022;9 934,41;15 891,32;726,85;;438,41;1 335,57;
Green;2022;5;15 921,32;;фев 2022;6 283,97;13 757,47;1 065,70;410,97;371,03;1 788,13;
Green;2022;6;13 155,03;;мар 2022;14 237,19;20 110,39;1 675,49;982,06;420,93;2 284,92;
Green;2022;7;16 475,98;;апр 2022;8 986,13;17 638,77;2 182,95;955,54;405,15;2 037,91;
Green;2022;8;15 224,76;;май 2022;6 818,83;15 921,32;1 768,90;934,26;339,50;1 670,17;
Green;2022;9;14 834,83;;июн 2022;6 132,88;13 155,03;1 046,08;763,41;410,22;998,02;
Green;2022;10;21 918,82;;июл 2022;7 831,71;16 475,98;1 047,06;848,27;345,57;1 649,09;
Green;2022;11;16 220,29;;авг 2022;7 079,59;15 224,76;955,88;1 072,24;236,26;1 101,44;
Green;2022;12;17 689,60;;сен 2022;6 399,18;14 834,83;854,09;1 071,84;376,95;1 815,60;
Other;2021;1;2 091,12;;окт 2022;9 478,16;21 918,82;1 145,78;1 298,68;284,28;1 233,11;
Other;2021;2;1 597,87;;ноя 2022;11 510,50;16 220,29;1 067,48;1 377,68;193,93;1 613,69;
Other;2021;3;1 823,42;;дек 2022;9 074,15;17 689,60;1 532,05;1 260,04;;1 815,37;
Other;2021;4;1 273,48;;;;;;;;;
Other;2021;5;1 870,45;;;;;;;;;
Other;2021;6;1 705,89;;;;;;;;;
Other;2021;7;1 759,02;;;;;;;;;
Other;2021;8;1 230,00;;;;;;;;;
Other;2021;9;976,20;;;;;;;;;
Other;2021;10;1 013,82;;;;;;;;;
Other;2021;11;689,47;;;;;;;;;
Other;2021;12;681,74;;;;;;;;;
Other;2022;1;726,85;;;;;;;;;
Other;2022;2;1 065,70;;;;;;;;;
Other;2022;3;1 675,49;;;;;;;;;
Other;2022;4;2 182,95;;;;;;;;;
Other;2022;5;1 768,90;;;;;;;;;
Other;2022;6;1 046,08;;;;;;;;;
Other;2022;7;1 047,06;;;;;;;;;
Other;2022;8;955,88;;;;;;;;;
Other;2022;9;854,09;;;;;;;;;
Other;2022;10;1 145,78;;;;;;;;;
Other;2022;11;1 067,48;;;;;;;;;
Other;2022;12;1 532,05;;;;;;;;;
Pearl;2022;2;410,97;;;;;;;;;
Pearl;2022;3;982,06;;;;;;;;;
Pearl;2022;4;955,54;;;;;;;;;
Pearl;2022;5;934,26;;;;;;;;;
Pearl;2022;6;763,41;;;;;;;;;
Pearl;2022;7;848,27;;;;;;;;;
Pearl;2022;8;1 072,24;;;;;;;;;
Pearl;2022;9;1 071,84;;;;;;;;;
Pearl;2022;10;1 298,68;;;;;;;;;
Pearl;2022;11;1 377,68;;;;;;;;;
Pearl;2022;12;1 260,04;;;;;;;;;
Rosy;2021;5;2 334,21;;;;;;;;;
Rosy;2021;6;2 213,25;;;;;;;;;
Rosy;2021;7;2 130,39;;;;;;;;;
Rosy;2021;8;1 758,46;;;;;;;;;
Rosy;2021;9;930,42;;;;;;;;;
Rosy;2021;10;870,89;;;;;;;;;
Rosy;2021;11;599,37;;;;;;;;;
Rosy;2021;12;348,60;;;;;;;;;
Rosy;2022;1;438,41;;;;;;;;;
Rosy;2022;2;371,03;;;;;;;;;
Rosy;2022;3;420,93;;;;;;;;;
Rosy;2022;4;405,15;;;;;;;;;
Rosy;2022;5;339,50;;;;;;;;;
Rosy;2022;6;410,22;;;;;;;;;
Rosy;2022;7;345,57;;;;;;;;;
Rosy;2022;8;236,26;;;;;;;;;
Rosy;2022;9;376,95;;;;;;;;;
Rosy;2022;10;284,28;;;;;;;;;
Rosy;2022;11;193,93;;;;;;;;;
Yellow;2021;1;2 073,77;;;;;;;;;
Yellow;2021;2;1 418,48;;;;;;;;;
Yellow;2021;3;1 774,12;;;;;;;;;
Yellow;2021;4;2 209,36;;;;;;;;;
Yellow;2021;5;1 515,28;;;;;;;;;
Yellow;2021;6;1 193,71;;;;;;;;;
Yellow;2021;7;1 759,86;;;;;;;;;
Yellow;2021;8;1 229,76;;;;;;;;;
Yellow;2021;9;2 370,89;;;;;;;;;
Yellow;2021;10;1 156,39;;;;;;;;;
Yellow;2021;11;1 961,30;;;;;;;;;
Yellow;2021;12;1 349,54;;;;;;;;;
Yellow;2022;1;1 335,57;;;;;;;;;
Yellow;2022;2;1 788,13;;;;;;;;;
Yellow;2022;3;2 284,92;;;;;;;;;
Yellow;2022;4;2 037,91;;;;;;;;;
Yellow;2022;5;1 670,17;;;;;;;;;
Yellow;2022;6;998,02;;;;;;;;;
Yellow;2022;7;1 649,09;;;;;;;;;
Yellow;2022;8;1 101,44;;;;;;;;;
Yellow;2022;9;1 815,60;;;;;;;;;
Yellow;2022;10;1 233,11;;;;;;;;;
Yellow;2022;11;1 613,69;;;;;;;;;
Yellow;2022;12;1 815,37;;;;;;;;;
