Год;Месяц;Канал;Бренд;Диапазон веса;Сумма (в 1000);Штуки (в 1000 шт);Штуки (в шт);Точки;Офтейк (штук на точку);Цена за штуку;Средний вес;Цена за грамм; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2021;3;Hypermarkets;Lime;400-599G;42,18;0,21;208;56;4;202,39;499,5;0,41;;;;;;;;;;;;;;
2021;3;Hypermarkets;Brown;<200G;38,22;0,40;399;91;4;95,75;200;0,48;;;;;;;;;;;;;;
2021;3;Hypermarkets;Brown;400-599G;1,61;0,01;11;6;2;146,61;499,5;0,29;;;;;;;;;;;;;;
2021;3;Minimarkets;Green;200-249G;3 420,01;58,99;58993;7314;8;57,97;224,5;0,26;;;;;;;;;;;;;;
2021;3;Minimarkets;Green;350-399G;5 533,05;55,12;55117;8857;6;100,39;374,5;0,27;;;;;;;;;;;;;;
2021;3;Minimarkets;Green;400-599G;751,43;5,10;5097;568;9;147,42;499,5;0,30;;;;;;;;;;;;;;
2021;3;Minimarkets;Green;600-899G;67,25;0,39;393;213;2;171,30;749,5;0,23;;;;;;;;;;;;;;
2021;3;Minimarkets;Blue;200-249G;0,59;0,00;4;1;4;146,77;224,5;0,65;;;;;;;;;;;;;;
2021;3;Minimarkets;Blue;400-599G;1 257,19;5,98;5984;874;7;210,09;499,5;0,42;;;;;;;;;;;;;;
2021;3;Minimarkets;Yellow;350-399G;957,65;16,77;16771;1817;9;57,10;374,5;0,15;;;;;;;;;;;;;;
2021;3;Minimarkets;Black;200-249G;461,54;6,64;6642;2391;3;69,49;224,5;0,31;;;;;;;;;;;;;;
2021;3;Minimarkets;Black;400-599G;85,41;0,53;530;446;1;161,31;499,5;0,32;;;;;;;;;;;;;;
2021;3;Minimarkets;Red;350-399G;193,42;1,29;1291;475;3;149,78;374,5;0,40;;;;;;;;;;;;;;
2021;3;Minimarkets;White;<200G;162,79;1,72;1722;232;7;94,53;200;0,47;;;;;;;;;;;;;;
2021;3;Minimarkets;Golden;350-399G;97,77;1,06;1060;221;5;92,25;374,5;0,25;;;;;;;;;;;;;;
2021;3;Minimarkets;Virulent;300-349G;50,09;0,25;253;1;253;197,92;324,5;0,61;;;;;;;;;;;;;;
2021;3;Minimarkets;Orange;250-299G;0,27;0,00;1;2;0;392,06;274,5;1,43;;;;;;;;;;;;;;
2021;3;Minimarkets;Orange;300-349G;0,14;0,00;1;1;1;197,59;324,5;0,61;;;;;;;;;;;;;;
2021;3;Minimarkets;Orange;400-599G;47,51;0,43;435;256;2;109,26;499,5;0,22;;;;;;;;;;;;;;
2021;3;Minimarkets;Vivid;<200G;6,91;0,04;38;1;38;181,89;200;0,91;;;;;;;;;;;;;;
2021;3;Minimarkets;Vivid;350-399G;35,34;0,16;157;1;157;224,98;374,5;0,60;;;;;;;;;;;;;;
